category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	2/220	79/8768	0.0253164556962025	1.00897583429229	0.0128560650199236	0.593763082736607	0.999350398765587	0.974661828226803	2214/4688	2
Organismal Systems	Immune system	hsa04660	T cell receptor signaling pathway	3/220	122/8768	0.0245901639344262	0.980029806259314	-0.035633556046219	0.594939264991474	0.999350398765587	0.974661828226803	959/7006/1019	3
Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	2/220	81/8768	0.0246913580246914	0.984062850729517	-0.0231165397330063	0.607443366745131	0.999350398765587	0.974661828226803	567/10437	2
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	1/220	37/8768	0.027027027027027	1.07714987714988	0.0754412183881847	0.610223576480436	0.999350398765587	0.974661828226803	443	1
Metabolism	Global and overview maps	hsa01250	Biosynthesis of nucleotide sugars	1/220	37/8768	0.027027027027027	1.07714987714988	0.0754412183881847	0.610223576480436	0.999350398765587	0.974661828226803	5372	1
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	1/220	37/8768	0.027027027027027	1.07714987714988	0.0754412183881847	0.610223576480436	0.999350398765587	0.974661828226803	3620	1
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	5/220	213/8768	0.0234741784037559	0.935552710200597	-0.152752751003405	0.623177486368908	0.999350398765587	0.974661828226803	567/637/891/9133/983	5
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	4/220	174/8768	0.0229885057471264	0.91619644723093	-0.179119953124643	0.640028333561267	0.999350398765587	0.974661828226803	284654/2535/147111/8607	4
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	2/220	86/8768	0.0232558139534884	0.926849894291755	-0.10936009526202	0.640111469678192	0.999350398765587	0.974661828226803	6546/783	2
Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	2/220	87/8768	0.0229885057471264	0.91619644723093	-0.126020664602259	0.646383850884082	0.999350398765587	0.974661828226803	332/2956	2
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	1/220	41/8768	0.024390243902439	0.972062084257206	-0.0287645795635661	0.648055438296303	0.999350398765587	0.974661828226803	1019	1
