#SYMBOL	ENTREZID
ATP4A	495
CYP24A1	1591
RELN	5649
LGI4	163175
FAM24B	196792
M1AP	130951
SST	6750
TBX3	6926
ISLR	3671
TBX20	57057
HPSE	10855
SERPINB8	5271
ARRB1	408
CAMK1G	57172
UPK2	7379
PLEKHG6	55200
SLPI	6590
ATP8B3	148229
HLA-DQB2	3120
MAGEC3	139081
RAC3	5881
GDPD2	54857
RALGPS1	9649
CAMK2N1	55450
SCGB1D4	404552
ACADL	33
REG4	83998
FAM24A	118670
CTLA4	1493
TMEM252	169693
BNC1	646
GPR68	8111
SH3RF2	153769
C16orf89	146556
NTN4	59277
AGMAT	79814
DAGLA	747
AQP10	89872
WT1	7490
TGM6	343641
OSMR	9180
SELENOP	6414
SLC7A8	23428
NKX3-2	579
ENTPD7	57089
DUOXA2	405753
PMP2	5375
RNF125	54941
C19orf84	147646
RAI2	10742
PBX1	5087
SCGB1D1	10648
ZBED2	79413
PC	5091
SOWAHB	345079
RND1	27289
RHPN1	114822
CASQ1	844
CNTNAP3	79937
ABCC1	4363
COL24A1	255631
TM4SF4	7104
SHISA3	152573
LEP	3952
RGS7	6000
SLC18A2	6571
IMPA2	3613
POTEB2	100287399
WNT7A	7476
WDR86	349136
KL	9365
FTCD	10841
CYP27C1	339761
DYRK3	8444
MT1H	4496
GDA	9615
TRIM9	114088
RGS9BP	388531
DNAH5	1767
KLHL31	401265
TNS3	64759
PHLDB3	653583
IL1B	3553
VANGL2	57216
BARHL2	343472
RTP3	83597
DIO2	1734
DCBLD2	131566
P3H2	55214
GIPC3	126326
RTN4RL2	349667
CCDC140	151278
SYCE2	256126
TNIP3	79931
KRT222	125113
ETV7	51513
ASTN2	23245
HSPB7	27129
SLC17A9	63910
ATP2B3	492
PEG3	5178
SYT1	6857
HTR7	3363
SCNN1A	6337
TLX1	3195
KRT17	3872
BCO2	83875
HTR1D	3352
NFASC	23114
CLPS	1208
ICAM5	7087
DNAH11	8701
IL13RA2	3598
CTTN	2017
RYR2	6262
MANSC1	54682
MUC20	200958
PCDHB10	56126
SLC38A5	92745
SLCO1B1	10599
C2CD4A	145741
BPIFB2	80341
ALOX15B	247
PRICKLE2	166336
CLEC4F	165530
RNF222	643904
ZFP92	139735
C3orf70	285382
OTOGL	283310
NUDT11	55190
FA2H	79152
KIAA1549	57670
CPB1	1360
SEMA3E	9723
CLEC18B	497190
SPOCK3	50859
ZNF385D	79750
HBD	3045
HBD	100187828
IGFL3	388555
FOXL2NB	401089
EYA2	2139
FBXO39	162517
SH3TC2	79628
ACTL8	81569
PCDH8	5100
ANXA3	306
MSRB3	253827
C1orf210	149466
FMO5	2330
HLA-F	3134
CEACAM19	56971
NBEA	26960
LRRN4CL	221091
KANK2	25959
DHRS9	10170
BATF2	116071
IGSF6	10261
FSHR	2492
NR0B2	8431
FAM218A	152756
STON1-GTF2A1L	286749
CPEB2	132864
SMR3B	10879
S100A7A	338324
MSX1	4487
PCDHGB1	56104
LCE2B	26239
HEPHL1	341208
PDE1A	5136
LRRC69	100130742
MMP20	9313
PLA2G5	5322
GRAMD1C	54762
GALNT6	11226
TMPRSS11F	389208
OR2B6	26212
TOB1	10140
ITPKA	3706
REEP1	65055
KCNK7	10089
PAX3	5077
PCDHB8	56128
PSTPIP2	9050
TTLL7	79739
FOXS1	2307
ABO	28
CAPN9	10753
SLC2A12	154091
UNC93A	54346
DPY19L1	23333
CHRM2	1129
MAGEB5	347541
CYP11A1	1583
FERMT1	55612
EDN3	1908
ABRA	137735
FANCD2P2	101929530
RGS17	26575
PRR27	401137
OR9A4	130075
GRIK3	2899
RNF39	80352
S100B	6285
ALDH1A2	8854
NR0B1	190
ANKRD34B	340120
CDA	978
DAPL1	92196
A4GNT	51146
AKAP6	9472
RIMS1	22999
CPXM1	56265
SCML4	256380
MOGAT1	116255
GJB1	2705
CA3	761
QRFPR	84109
RHOD	29984
WNT16	51384
HPDL	84842
SALL1	6299
EPS8L3	79574
GLIS3	169792
PITPNM3	83394
CBLN1	869
PLIN1	5346
CX3CR1	1524
KRT20	54474
INMT	11185
MMP9	4318
LRRTM1	347730
CLEC5A	23601
SKP2	6502
SEZ6L2	26470
LPL	4023
PIP	5304
PRR19	284338
TMEM116	89894
KLRB1	3820
RHD	6007
LRRC38	126755
LHX9	56956
RBM24	221662
CRAT	1384
COL4A5	1287
GPR62	118442
OR10C1	442194
KRT36	8689
GJA3	2700
HIF3A	64344
NTS	4922
KIT	3815
CTNNA2	1496
FOXG1	2290
HMGCLL1	54511
CIT	11113
HTRA3	94031
ADAM23	8745
HOXB5	3215
REG3G	130120
ANG	283
DKK4	27121
HOXA7	3204
GFRA1	2674
KCNH1	3756
OR11H4	390442
GPAT3	84803
KCNQ5	56479
G0S2	50486
CHODL	140578
AZGP1	563
GHRHR	2692
TNFRSF11B	4982
KIF1A	547
LOXL4	84171
FAIM2	23017
NDNF	79625
LRFN5	145581
LYPD8	646627
MAGEC2	51438
SLC29A4	222962
DES	1674
RNF150	57484
ACTBL2	345651
SESN3	143686
BPIFB1	92747
GPC3	2719
GLDC	2731
PRKAR2B	5577
THSD1	55901
KCTD8	386617
RHOV	171177
MAOA	4128
TRIM50	135892
CPED1	79974
TAGLN3	29114
IGSF9B	22997
CTSE	1510
IRX6	79190
SLC25A41	284427
NXF5	55998
TGM5	9333
NLRP10	338322
DZIP1L	199221
MX2	4600
SCG2	7857
MAGEA8	4107
TPCN2	219931
ZIC1	7545
TMEM47	83604
FLRT2	23768
HAS2	3037
TYMSOS	494514
HMHB1	57824
NLGN1	22871
HOXB6	3216
IVL	3713
PRDM12	59335
TAAR1	134864
UTRN	7402
CNGB1	1258
OR2L2	26246
CCDC87	55231
ADAMTSL3	57188
OVOL1	5017
NUP210	23225
PPP1R9A	55607
NR4A3	8013
FOXC2	2303
MFSD13A	79847
TFAP4	7023
PLA2G1B	5319
HTRA4	203100
KRT34	3885
ZFP28	140612
KCNK15	60598
EMID1	129080
C5orf46	389336
CYSLTR1	10800
ELOVL4	6785
RNASE2	6036
SLC8A1	6546
ALOXE3	59344
MYL2	4633
PLPPR1	54886
RASEF	158158
PTGS1	5742
PDCD1LG2	80380
OR6C70	390327
TMEM178A	130733
GCNT4	51301
PTGIS	5740
OBP2A	29991
TNFRSF9	3604
TDRP	157695
HES7	84667
SUSD4	55061
ASCL4	121549
NECAB1	64168
RETNLB	84666
LCE1C	353133
CENPV	201161
CACNG7	59284
PLXNA4	91584
GRXCR1	389207
COL2A1	1280
OAS2	4939
POU4F1	5457
RNF151	146310
KCNE2	9992
TPPP	11076
PSORS1C1	170679
MRGPRF	116535
DACT3	147906
HPGDS	27306
CALN1	83698
LDOC1	23641
KLF15	28999
HSD11B1	3290
IGFBPL1	347252
CEACAM8	1088
ADH7	131
FXYD3	5349
LHCGR	3973
IGFL4	444882
SNX31	169166
DPYSL5	56896
SULT1E1	6783
ASPHD1	253982
SLC39A14	23516
LY6G6C	80740
MT1HL1	645745
IL37	27178
FRMPD2	143162
SPANXB1	728695
TMEM151B	441151
GPR156	165829
C10orf67	256815
PROM1	8842
CAP2	10486
SMIM22	440335
CUX2	23316
CPO	130749
TARM1	441864
RIPPLY3	53820
BEAN1	146227
SLITRK2	84631
OCSTAMP	128506
KLHL30	377007
RASL11A	387496
CLDN6	9074
ACTA1	58
RASGEF1A	221002
DNAAF3	352909
CSMD3	114788
RXRG	6258
CELF2	10659
RERG	85004
SPRR2G	6706
TMEM169	92691
GAS2	2620
TGM4	7047
GALNTL6	442117
NPTX2	4885
ALDOB	229
AGR2	10551
DMRT3	58524
LGSN	51557
TMSB15B	286527
LRRC17	10234
HOXB9	3219
FABP4	2167
PLIN5	440503
SLC5A1	6523
CPA2	1358
CNTNAP5	129684
MAPK4	5596
SHE	126669
SAMD9	54809
CAPSL	133690
CHST9	83539
FAM167A	83648
AP3B2	8120
CLDN1	9076
SMOC1	64093
CBR3	874
SORBS1	10580
KRT2	3849
OTOP3	347741
MKX	283078
POF1B	79983
IFNK	56832
CHRNB2	1141
MGAT5B	146664
MLIP	90523
NPSR1	387129
KYNU	8942
MFSD4A	148808
ALX4	60529
CFAP47	286464
LCE6A	448835
ACCSL	390110
TMPRSS11D	9407
IP6K3	117283
CMPK2	129607
PDCL2	132954
GREB1	9687
PTCH2	8643
ITGB6	3694
SOD3	6649
ITGA9	3680
SULT1C2	6819
USP2	9099
UBE2QL1	134111
TM4SF5	9032
ALX3	257
AGMO	392636
GUCY2D	3000
LIM2	3982
SLCO4A1	28231
MAOB	4129
NLGN4X	57502
C2CD4B	388125
WNT10B	7480
SYT5	6861
CSN3	1448
PRRT1	80863
ADAMTS3	9508
GNRHR	2798
MYOM3	127294
ADCYAP1	116
NAA11	84779
DMD	1756
PLA2G4E	123745
OR7C1	26664
TMC5	79838
CHGA	1113
RBP4	5950
TMEM229B	161145
B4GALNT2	124872
DPP4	1803
LIPM	340654
FMO1	2326
PHGR1	644844
RIBC2	26150
TNNI3	7137
PAQR5	54852
WFDC5	149708
SDK2	54549
CDH18	1016
CILP	8483
ROBO2	6092
DMBT1	1755
SLC39A2	29986
NEU2	4759
B3GALT5	10317
SLCO1B3	28234
ZDHHC15	158866
RHBDL3	162494
PRMT8	56341
OR52H1	390067
SLC35G3	146861
ARNT2	9915
NKX2-2	4821
ADD2	119
SFTPB	6439
UGT2B15	7366
LY6D	8581
WNT8B	7479
XCR1	2829
LY6K	54742
S100G	795
METTL24	728464
MYBPC2	4606
GLYATL2	219970
CES5A	221223
XIRP1	165904
IHH	3549
SOSTDC1	25928
AKR1C4	1109
PYDC2	152138
C5AR1	728
KLK9	284366
CLDN22	53842
PCDH19	57526
SPRR1A	6698
DMRTA2	63950
LHFPL1	340596
AFF2	2334
NMRK2	27231
PPARG	5468
OLFM1	10439
KRT80	144501
KRT24	192666
NT5E	4907
DLG2	1740
TAS2R14	50840
CDKN2B	1030
DUOX2	50506
ZCCHC13	389874
IFNL3	282617
CDKN2A	1029
FGFBP1	9982
KRT8	3856
CR2	1380
AKR1C3	8644
ESRRG	2104
ACER1	125981
PAX7	5081
C1orf105	92346
SYNE3	161176
RGS13	6003
PPBP	5473
MEGF10	84466
NOTUM	147111
BEX1	55859
TNMD	64102
SOX1	6656
KRTAP29-1	100533177
CYP4F11	57834
PODN	127435
PPARGC1A	10891
MMP16	4325
AQP5	362
CST6	1474
ETNPPL	64850
ZIC4	84107
IFNG	3458
TFPI2	7980
MEOX2	4223
CAPZA3	93661
SPTLC3	55304
SEMA3D	223117
CLDN18	51208
IL36G	56300
CLDN11	5010
KRT40	125115
KRTAP5-9	3846
RPE65	6121
C4BPB	725
SOX10	6663
LGI3	203190
TBX18	9096
GAST	2520
MAGEB6	158809
LCE2D	353141
AARD	441376
MNX1	3110
JAKMIP2	9832
GPR149	344758
SPRR1B	6699
TIMP4	7079
UPK1B	7348
GABRG3	2567
RNF183	138065
TNFSF18	8995
TNFRSF13B	23495
SEMA6D	80031
IFNL1	282618
F13A1	2162
CBLN2	147381
HBA2	3040
FSTL4	23105
IRX1	79192
TSKS	60385
DNAH14	127602
CD40LG	959
NRXN2	9379
OR5M11	219487
ENPP6	133121
CCDC190	339512
CLEC6A	93978
COX8C	341947
DCC	1630
ACY3	91703
MRAP2	112609
ALOX15	246
GATA4	2626
CRABP1	1381
TAS2R43	259289
STEAP4	79689
CLDN10	9071
ZMAT4	79698
DNASE2B	58511
BANK1	55024
MUC12	10071
PLCH1	23007
KRT37	8688
KERA	11081
ACOD1	730249
FLRT3	23767
FCAMR	83953
TUBB2B	347733
CAPN6	827
IFNE	338376
C4orf19	55286
PCDH20	64881
LTF	4057
MYO3A	53904
AMBP	259
EIF1AY	9086
KRTAP5-7	440050
HOXB8	3218
VWDE	221806
SERPINA9	327657
DLGAP1	9229
ZNF385B	151126
EREG	2069
CLEC2A	387836
SCGB3A2	117156
MS4A1	931
BARX1	56033
GSTM1	2944
LCE5A	254910
FCRLA	84824
SP5	389058
NEFL	4747
IL17C	27189
MAEL	84944
CPLX3	594855
CIDEB	27141
NPFFR2	10886
SRY	6736
DCANP1	140947
PTPRCAP	5790
S100A7	6278
OLFM4	10562
CDR1	1038
