"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",109,0.38067732014765,1.42213934124722,0.0155339785451965,0.0706089933872566,0.0490546690900941,3047,"tags=36%, list=24%, signal=28%","5332/4325/2535/6383/4781/3778/5578/3488/3037/5577/10000/23576/3815/3382/3915/6717/861/2202/2534/11030/7049/323/4052/10659/2650/3690/8613/9112/8476/25836/1601/23229/546/9863/22828/4493/5054/657/3638"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",29,0.545376585020325,1.58428929337367,0.0219404811252896,0.0725156363987311,0.0503792842349079,1896,"tags=34%, list=15%, signal=29%","7857/154796/23462/5727/4897/2735/43/1808/4825/4763"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",129,0.375884918426755,1.43845560006699,0.0175916746775222,0.0725156363987311,0.0503792842349079,5843,"tags=65%, list=45%, signal=36%","3192/6432/26156/1854/7298/8318/4085/4175/4176/6950/6434/5984/7514/10155/2091/9184/1019/26121/8886/10054/5111/7398/51020/2079/7913/3183/3608/4173/10576/10575/3329/54107/6599/7307/6741/3251/328/991/56910/4869/52/1665/5634/6629/22916/6059/11260/6427/6418/3184/11335/5496/6194/6150/3837/6146/55651/7965/6626/10399/9136/5902/10921/57819/9221/821/3181/1964/4174/5683/51690/8454/3326/4686/4830/26354/3475/3068/10492/10213/10971/9188/7027/6175"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",147,-0.362912188695738,-1.38392024347813,0.0202056385957537,0.0725156363987311,0.0503792842349079,1645,"tags=29%, list=13%, signal=26%","6768/8204/27134/2353/11031/5733/10105/7074/7263/57834/1844/2261/6990/3993/26353/10551/11001/2810/10497/64065/3158/56603/7538/4681/10140/3613/57419/9455/2707/8900/2582/23650/10761/6337/760/2171/4057/9022/8416/11012/7031/6280/5655"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",158,-0.35577965651574,-1.36485942666018,0.0226456651009514,0.0725156363987311,0.0503792842349079,2389,"tags=31%, list=19%, signal=26%","7098/5970/728/1318/3586/3732/4067/3587/6402/7439/29933/3949/1441/6541/5663/4891/391/27074/7855/3553/2773/3386/10006/23095/2643/684/9034/4973/3665/166929/10135/3566/3576/8744/4693/1440/6367/2867/3656/10125/4210/623/10886/1839/9435/1026/4084/5029/2069"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",143,-0.352590168161316,-1.33740722953221,0.023205003647594,0.0725156363987311,0.0503792842349079,3263,"tags=38%, list=25%, signal=29%","9429/6005/8780/56895/3321/54498/6006/6710/4005/7351/669/6397/55034/212/8945/2035/9258/4778/23568/10553/5091/5526/4059/645/5606/2623/5909/3045/8273/286/140609/55030/4891/22936/51274/9958/3386/759/23052/6513/1510/23762/3049/8850/26020/23002/55589/80853/10840/760/25893/6521/10158/360"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",111,-0.363475652877293,-1.32455333679147,0.0485436893203883,0.142775556824672,0.0991914394781929,2723,"tags=30%, list=21%, signal=24%","1962/1579/2168/50814/2820/9246/874/5805/5465/5910/8803/3155/50486/912/1384/218/2052/1429/4128/6281/2819/131/3158/2326/2180/1718/3248/11343/1056/948/760/1149/8876"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",154,0.330970643728447,1.30317990882978,0.057376922740431,0.159380340945642,0.110727394762235,2656,"tags=31%, list=21%, signal=25%","5740/4684/2247/1756/347/845/58/6588/6445/1674/3757/2027/2273/7169/4629/88/43/140465/9659/4638/816/4633/11155/9215/8736/89797/8614/274/3679/6876/70/5569/10290/5837/2775/25803/5348/1339/8082/4619/1012/8557/5664/5213/6450/22808/58498/844"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",35,0.464685240433343,1.39969108806916,0.0732673267326733,0.174446016030174,0.121194074294647,405,"tags=17%, list=3%, signal=17%","8325/7475/51176/23462/8321/5727"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",153,-0.330825653258407,-1.264191984788,0.0703125,0.174446016030174,0.121194074294647,2784,"tags=37%, list=22%, signal=30%","329/4780/9021/79693/3601/6890/51278/8870/2152/10725/79155/4609/2114/22822/5970/3280/10221/4929/3949/50486/5606/6385/602/941/8837/2353/2355/1843/3553/1647/8553/8013/1844/2643/23645/3726/9034/4973/7280/25976/9120/23529/10135/7538/8744/7262/23135/10611/1847/7422/1839/1326/1026/4084/5271/80149/5055"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",154,0.31892750561857,1.25576067113772,0.0693877551020408,0.174446016030174,0.121194074294647,2962,"tags=34%, list=23%, signal=27%","23012/3797/1063/4751/56992/4001/9735/26271/55704/4739/55722/51203/9493/10403/55125/3832/7153/6711/11064/983/274/9181/8243/7840/699/4281/24137/332/9133/4763/29901/23192/9793/8476/9732/25/5108/4628/7461/9055/116840/9126/1894/2037/64411/5311/7248/23332/10128/253260/10051/9787/3835"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",33,0.450566235447436,1.33780401050148,0.100401606425703,0.227191732002851,0.157838466444086,1742,"tags=30%, list=14%, signal=26%","3642/4821/3170/1641/57586/10000/3670/6514/4825/3651"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",101,0.340012711895785,1.24623447634864,0.104508196721311,0.227191732002851,0.157838466444086,1675,"tags=23%, list=13%, signal=20%","1761/2571/4867/135138/9892/10926/1047/4751/29106/4889/6558/51087/54558/83700/2146/27344/27285/983/116832/10038/699/23411/5984"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",78,0.345294098471064,1.20930273015305,0.146292585170341,0.29811320754717,0.207110228401192,2793,"tags=33%, list=22%, signal=26%","21/4306/6258/51268/6579/8435/8856/24/3992/866/114327/54677/54363/1593/5264/367/29842/55825/2030/9962/23460/5213/51015/20/10350/223"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",133,-0.312238347432514,-1.17654690529337,0.149056603773585,0.29811320754717,0.207110228401192,1731,"tags=15%, list=13%, signal=13%","5468/1384/2053/23786/5733/26994/7263/4023/1647/6239/1468/26353/2101/10140/11343/948/1149/2167/3952/1580"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",41,0.376301469868189,1.16678551328184,0.227642276422764,0.437773608505316,0.304137454330009,5616,"tags=71%, list=44%, signal=40%","27346/7374/10733/6573/1019/4839/8886/56915/29078/79077/4173/3329/64216/705/6949/4869/10244/11335/7965/9136/23481/10199/9221/4174/27340/51154/83743/26354/2193"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",38,-0.377107678524768,-1.15006240663874,0.244701348747592,0.443765975575121,0.308300572504821,3446,"tags=55%, list=27%, signal=41%","51022/4155/55829/140809/2729/2936/475/5214/2242/5052/7295/1032/1728/22904/10549/9943/2068/2539/3726/3163/4353"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",78,-0.320558221004843,-1.11823675666301,0.248508946322068,0.443765975575121,0.308300572504821,1621,"tags=22%, list=13%, signal=19%","4094/22936/2773/23171/10397/9053/54407/354/1718/10611/2185/563/9455/3248/8916/7113/79689"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",116,0.288193172008497,1.08908405613056,0.283613445378151,0.488988698927847,0.339718464518294,962,"tags=11%, list=7%, signal=10%","4885/1280/1036/4916/5334/1875/4487/3757/9355/3192/10439/23467/1138"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",142,-0.282966357565328,-1.07178002366726,0.305182341650672,0.508637236084453,0.353369027174462,1644,"tags=18%, list=13%, signal=16%","1432/1384/4892/10487/4318/26119/3386/2886/1956/81607/10458/54509/65266/9073/5818/3728/1364/5097/51208/1366/5522/8174/10205/794/1041/1823"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",30,-0.377988346809308,-1.08378841304587,0.32719836400818,0.527739296787387,0.366639932504922,2230,"tags=27%, list=17%, signal=22%","4067/3561/1946/80274/142680/50617/4118/27076"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",53,-0.336949849328588,-1.07059048071348,0.34560327198364,0.540005112474438,0.375161446561188,1731,"tags=45%, list=13%, signal=39%","94241/182/5641/51330/6811/5329/55902/4047/10654/50814/230/3949/5468/3958/6282/6309/4023/26270/58191/552/2731/132864/2171/114569"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",27,0.376546494937883,1.06818876143078,0.369477911646586,0.559815017646343,0.388924117522722,1619,"tags=22%, list=13%, signal=19%","8324/8321/5578/6934/8819/23220"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",38,0.343753001465374,1.04540388033441,0.380952380952381,0.560224089635854,0.389208314904909,3422,"tags=42%, list=27%, signal=31%","56937/6711/4091/64750/3398/1499/6885/9241/51742/4053/51592/5054/657/8412/25937/4092"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",87,-0.281003857097998,-0.995316441159848,0.452191235059761,0.645987478656801,0.448791300961567,2616,"tags=29%, list=20%, signal=23%","2152/4312/462/2161/1513/55970/5879/733/5627/726/4048/4317/4318/1510/4973/629/7018/7056/2266/3158/10411/3172/1803/9615/5055"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",74,-0.286225646695895,-0.989511416343819,0.475442043222004,0.660336171141672,0.458759866266846,2513,"tags=28%, list=19%, signal=23%","84335/6195/27006/5519/5879/3561/5606/51719/5594/51135/31/4793/3565/7074/2872/1956/6513/4615/2810/27071/1026"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",142,-0.260446662213994,-0.98648310065386,0.502879078694818,0.679566322560564,0.472119760936813,1472,"tags=27%, list=11%, signal=24%","1520/8431/7139/163590/1794/10221/3587/1636/5178/3561/50486/23136/90865/80201/4318/7476/3553/23645/6801/629/8808/9053/9935/9949/10103/3728/1839/639/11199/2012/760/1149/10205/7851/2069/5284/383/6590"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",148,-0.253367489905213,-0.967314303852492,0.555343511450382,0.730715146645239,0.507654733458798,2543,"tags=26%, list=20%, signal=21%","462/822/836/4609/22822/3586/8202/3587/6402/3459/399/6050/2623/64866/27242/84230/825/3664/3662/7074/6403/8553/4643/10397/6095/10924/1233/79026/3566/64332/5292/7850/1326/2012/4084/760/22807/1893/4582"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",66,-0.280010271063135,-0.936834666900253,0.570281124497992,0.731129646792297,0.507942701982017,1999,"tags=23%, list=15%, signal=19%","1441/3162/3561/27242/3553/5967/1439/3597/4615/578/3566/5292/7850/1326/948"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",110,-0.251461314518343,-0.911297622235583,0.666666666666667,0.824670131947221,0.572928723247543,2783,"tags=26%, list=22%, signal=21%","3489/6890/2944/8870/836/5970/5526/3459/581/9638/5611/3162/5058/3958/5663/8837/3553/6309/1647/2643/8915/2065/837/834/552/8900/2012/1026/2069"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",101,0.245221324285741,0.898799538866739,0.676229508196721,0.824670131947221,0.572928723247543,4092,"tags=33%, list=32%, signal=22%","155382/5142/8237/4882/1854/7298/5985/5983/5984/5980/11130/5888/5557/29901/1716/5111/9013/10189/5422/5982/5438/8086/5439/4833/3251/65109/11051/6895/7084/203/2071/22916/1642"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",76,0.249276228849051,0.867238698637922,0.752016129032258,0.895257296466974,0.621968227019161,1275,"tags=12%, list=10%, signal=11%","1381/23705/6258/4436/5244/8856/3992/866/7153"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",145,0.221814846261496,0.866478319455204,0.802494802494803,0.919380816034359,0.638727724823871,2058,"tags=18%, list=16%, signal=15%","3219/2239/10570/63827/3798/596/6383/9590/5578/23327/2027/54800/3484/8660/9215/2719/8614/126792/54206/8819/5033/7852/3309/10891/5837/5165"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",29,0.271152534200568,0.787683352392345,0.809055118110236,0.919380816034359,0.638727724823871,1003,"tags=10%, list=8%, signal=10%","2260/4487/7076"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",153,-0.189910625101132,-0.725710015877761,0.982421875,1,0.694736842105263,1971,"tags=16%, list=15%, signal=14%","55586/2584/8702/26355/726/29925/5768/2539/1956/1468/3597/5230/205/10331/53836/5836/112399/6382/55276/2582/56956/7422/9435/1999/2998"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",149,-0.190149011937488,-0.724616144710041,0.976699029126214,1,0.694736842105263,2389,"tags=28%, list=19%, signal=23%","3593/919/2589/7454/8672/5579/1445/4689/916/6890/3091/2213/822/7098/1520/3586/959/4067/3459/961/6356/3561/602/3578/912/941/7903/4318/3565/3553/3662/10006/973/1956/8915/3665/6123/3566/6367/3135/2069/3848"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",67,-0.208368909732614,-0.703145901171261,0.935871743486974,1,0.694736842105263,4075,"tags=39%, list=32%, signal=27%","57403/286451/1315/23041/667/164/8546/8417/9341/372/4952/51606/8729/5862/7251/5868/9367/858/11079/7103/5594/259230/9525/23095/1956/8027"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",133,-0.181990835525142,-0.685760593115938,0.992452830188679,1,0.694736842105263,1869,"tags=15%, list=14%, signal=13%","5606/54843/4048/51382/31/4793/6309/2539/8553/23645/6513/10622/7277/5230/205/10135/1718/112399/27071/1026"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",69,0.16734420733824,0.574054246282933,0.99803536345776,1,0.694736842105263,4174,"tags=33%, list=32%, signal=23%","3484/10605/4801/8614/64061/29968/5832/3309/57472/4800/9797/2521/56915/6509/25804/10130/5393/7184/4869/8570/11015/1054/11260"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",129,0.0951225704966209,0.364019910126546,1,1,0.694736842105263,5442,"tags=29%, list=42%, signal=17%","5166/36/5264/4129/23530/2395/528/10128/4718/4190/4704/54205/26519/4942/4713/5160/293/2271/5162/27429/56898/4720/4722/23203/10651/22/4728/64981/1340/481/4719/4714/4712/1727/291/3313/1329"
