Samples	group
ec385_GSM1297055	normal
ec391_GSM1297056	tumor
ec391_GSM1297057	normal
ec392_GSM1297058	tumor
ec392_GSM1297059	normal
ec393_GSM1297060	tumor
ec393_GSM1297061	normal
ec396_GSM1297062	tumor
ec396_GSM1297063	normal
ec398_GSM1297064	tumor
ec398_GSM1297065	normal
ec400_GSM1297066	tumor
ec400_GSM1297067	normal
ec402_GSM1297068	tumor
ec402_GSM1297069	normal
ec403_GSM1297070	tumor
ec403_GSM1297071	normal
ec404_GSM1297072	tumor
ec404_GSM1297073	normal
ec405_GSM1297074	tumor
ec405_GSM1297075	normal
ec224_GSM1297076	tumor
ec224_GSM1297077	normal
ec225_GSM1297078	tumor
ec225_GSM1297079	normal
ec226_GSM1297080	tumor
ec226_GSM1297081	normal
ec227_GSM1297082	tumor
ec227_GSM1297083	normal
ec251_GSM1297084	tumor
ec251_GSM1297085	normal
ec253_GSM1297086	tumor
ec253_GSM1297087	normal
ec256_GSM1297088	tumor
ec256_GSM1297089	normal
ec258_GSM1297090	tumor
ec258_GSM1297091	normal
ec259_GSM1297092	tumor
ec259_GSM1297093	normal
ec260_GSM1297094	tumor
ec260_GSM1297095	normal
ec261_GSM1297096	tumor
ec261_GSM1297097	normal
ec262_GSM1297098	tumor
ec262_GSM1297099	normal
ec264_GSM1297100	tumor
ec264_GSM1297101	normal
ec265_GSM1297102	tumor
ec265_GSM1297103	normal
ec266_GSM1297104	tumor
ec266_GSM1297105	normal
ec269_GSM1297106	tumor
ec269_GSM1297107	normal
ec273_GSM1297108	tumor
ec273_GSM1297109	normal
ec274_GSM1297110	tumor
ec274_GSM1297111	normal
ec275_GSM1297112	tumor
ec275_GSM1297113	normal
ec277_GSM1297114	tumor
ec277_GSM1297115	normal
ec279_GSM1297116	tumor
ec279_GSM1297117	normal
ec280_GSM1297118	tumor
ec280_GSM1297119	normal
ec281_GSM1297120	tumor
ec281_GSM1297121	normal
ec284_GSM1297122	tumor
ec284_GSM1297123	normal
ec285_GSM1297124	tumor
ec285_GSM1297125	normal
ec287_GSM1297126	tumor
ec287_GSM1297127	normal
ec288_GSM1297128	tumor
ec288_GSM1297129	normal
ec29_GSM1297130	tumor
ec29_GSM1297131	normal
ec30_GSM1297132	tumor
ec30_GSM1297133	normal
ec68_GSM1297134	tumor
ec68_GSM1297135	normal
ec80_GSM1297136	tumor
ec80_GSM1297137	normal
ec81_GSM1297138	tumor
ec81_GSM1297139	normal
ec108_GSM1297140	tumor
ec108_GSM1297141	normal
ec119_GSM1297142	tumor
ec119_GSM1297143	normal
ec120_GSM1297144	tumor
ec120_GSM1297145	normal
ec122_GSM1297146	tumor
ec122_GSM1297147	normal
ec131_GSM1297148	tumor
ec131_GSM1297149	normal
ec132_GSM1297150	tumor
ec132_GSM1297151	normal
ec134_GSM1297152	tumor
ec134_GSM1297153	normal
ec135_GSM1297154	tumor
ec135_GSM1297155	normal
ec142_GSM1297156	tumor
ec142_GSM1297157	normal
ec148_GSM1297158	tumor
ec148_GSM1297159	normal
ec136_GSM1297160	tumor
ec136_GSM1297161	normal
ec146_GSM1297162	tumor
ec146_GSM1297163	normal
ec205_GSM1297164	tumor
ec205_GSM1297165	normal
ec206_GSM1297166	tumor
ec206_GSM1297167	normal
ec207_GSM1297168	tumor
ec207_GSM1297169	normal
ec208_GSM1297170	tumor
ec208_GSM1297171	normal
ec210_GSM1297172	tumor
ec210_GSM1297173	normal
ec211_GSM1297174	tumor
ec211_GSM1297175	normal
ec212_GSM1297176	tumor
ec212_GSM1297177	normal
ec214_GSM1297178	tumor
ec214_GSM1297179	normal
ec215_GSM1297180	tumor
ec215_GSM1297181	normal
ec216_GSM1297182	tumor
ec216_GSM1297183	normal
ec218_GSM1297184	tumor
ec218_GSM1297185	normal
ec219_GSM1297186	tumor
ec219_GSM1297187	normal
ec220_GSM1297188	tumor
ec220_GSM1297189	normal
ec221_GSM1297190	tumor
ec221_GSM1297191	normal
ec222_GSM1297192	tumor
ec222_GSM1297193	normal
ec223_GSM1297194	tumor
ec223_GSM1297195	normal
ec236_GSM1297196	tumor
ec236_GSM1297197	normal
ec239_GSM1297198	tumor
ec239_GSM1297199	normal
ec241_GSM1297200	tumor
ec241_GSM1297201	normal
ec243_GSM1297202	tumor
ec243_GSM1297203	normal
ec245_GSM1297204	tumor
ec245_GSM1297205	normal
ec246_GSM1297206	tumor
ec246_GSM1297207	normal
ec247_GSM1297208	tumor
ec247_GSM1297209	normal
ec249_GSM1297210	tumor
ec249_GSM1297211	normal
ec228_GSM1297212	tumor
ec228_GSM1297213	normal
ec229_GSM1297214	tumor
ec229_GSM1297215	normal
ec231_GSM1297216	tumor
ec231_GSM1297217	normal
ec234_GSM1297218	tumor
ec234_GSM1297219	normal
ec102_GSM1297220	tumor
ec102_GSM1297221	normal
ec112_GSM1297222	tumor
ec112_GSM1297223	normal
ec117_GSM1297224	tumor
ec117_GSM1297225	normal
ec129_GSM1297226	tumor
ec129_GSM1297227	normal
ec201_GSM1297228	tumor
ec201_GSM1297229	normal
ec217_GSM1297230	tumor
ec217_GSM1297231	normal
ec268_GSM1297232	tumor
ec268_GSM1297233	normal
ec290_GSM1297234	tumor
ec290_GSM1297235	normal
ec297_GSM1297236	tumor
ec297_GSM1297237	normal
ec9_GSM1297238	tumor
ec9_GSM1297239	normal
ec10_GSM1297240	tumor
ec10_GSM1297241	normal
ec11_GSM1297242	tumor
ec11_GSM1297243	normal
ec12_GSM1297244	tumor
ec12_GSM1297245	normal
ec13_GSM1297246	tumor
ec13_GSM1297247	normal
ec23_GSM1297248	tumor
ec23_GSM1297249	normal
ec25_GSM1297250	tumor
ec25_GSM1297251	normal
ec26_GSM1297252	tumor
ec26_GSM1297253	normal
ec27_GSM1297254	tumor
ec27_GSM1297255	normal
ec28_GSM1297256	tumor
ec28_GSM1297257	normal
ec31_GSM1297258	tumor
ec31_GSM1297259	normal
ec32_GSM1297260	tumor
ec32_GSM1297261	normal
ec36_GSM1297262	tumor
ec36_GSM1297263	normal
ec42_GSM1297264	tumor
ec42_GSM1297265	normal
ec45_GSM1297266	tumor
ec45_GSM1297267	normal
ec46_GSM1297268	tumor
ec46_GSM1297269	normal
ec49_GSM1297270	tumor
ec49_GSM1297271	normal
ec51_GSM1297272	tumor
ec51_GSM1297273	normal
ec52_GSM1297274	tumor
ec52_GSM1297275	normal
ec60_GSM1297276	tumor
ec60_GSM1297277	normal
ec61_GSM1297278	tumor
ec61_GSM1297279	normal
ec71_GSM1297280	tumor
ec71_GSM1297281	normal
ec73_GSM1297282	tumor
ec73_GSM1297283	normal
ec74_GSM1297284	tumor
ec74_GSM1297285	normal
ec76_GSM1297286	tumor
ec76_GSM1297287	normal
ec77_GSM1297288	tumor
ec77_GSM1297289	normal
ec79_GSM1297290	tumor
ec79_GSM1297291	normal
ec87_GSM1297292	tumor
ec87_GSM1297293	normal
ec91_GSM1297294	tumor
ec91_GSM1297295	normal
ec92_GSM1297296	tumor
ec92_GSM1297297	normal
ec94_GSM1297298	tumor
ec94_GSM1297299	normal
ec4_GSM1297300	tumor
ec4_GSM1297301	normal
ec6_GSM1297302	tumor
ec6_GSM1297303	normal
ec7_GSM1297304	tumor
ec7_GSM1297305	normal
ec96_GSM1297306	tumor
ec96_GSM1297307	normal
ec97_GSM1297308	tumor
ec97_GSM1297309	normal
ec101_GSM1297310	tumor
ec101_GSM1297311	normal
ec106_GSM1297312	tumor
ec106_GSM1297313	normal
